date,store_visitors
20160801,445
20160802,527
20160803,458
20160804,389
20160805,646
20160806,548
20160807,497
20160808,814
20160809,868
20160810,824
20160811,795
20160812,1130
20160813,447
20160814,476
20160815,1114
20160816,945
20160817,870
20160818,761
20160819,628
20160820,551
20160821,459
20160822,660
20160823,861
20160824,808
20160825,932
20160826,692
20160827,616
20160828,508
20160829,814
20160830,676
20160831,796
20160901,798
20160902,726
20160903,410
20160904,444
20160905,627
20160906,949
20160907,733
20160908,3722
20160909,1487
20160910,532
20160911,422
20160912,703
20160913,895
20160914,902
20160915,768
20160916,812
20160917,530
20160918,524
20160919,815
20160920,1042
20160921,977
20160922,860
20160923,626
20160924,564
20160925,457
20160926,858
20160927,784
20160928,774
20160929,608
20160930,298
20161001,203
20161002,198
20161003,332
20161004,458
20161005,437
20161006,422
20161007,365
20161008,207
20161009,237
20161010,315
20161011,297
20161012,346
20161013,458
20161014,341
20161015,190
20161016,236
20161017,341
20161018,257
20161019,277
20161020,298
20161021,240
20161022,206
20161023,267
20161024,333
20161025,244
20161026,261
20161027,347
20161028,243
20161029,209
20161030,208
20161031,315
20161101,218
20161102,330
20161103,306
20161104,308
20161105,169
20161106,223
20161107,293
20161108,290
20161109,313
20161110,357
20161111,258
20161112,247
20161113,221
20161114,351
20161115,427
20161116,336
20161117,311
20161118,305
20161119,257
20161120,278
20161121,331
20161122,302
20161123,312
20161124,191
20161125,348
20161126,246
20161127,209
20161128,638
20161129,549
20161130,416
20161201,356
20161202,401
20161203,292
20161204,296
20161205,431
20161206,541
20161207,353
20161208,355
20161209,438
20161210,294
20161211,319
20161212,497
20161213,393
20161214,495
20161215,354
20161216,403
20161217,363
20161218,209
20161219,302
20161220,434
20161221,338
20161222,154
20161223,120
20161224,114
20161225,217
20161226,105
20161227,247
20161228,209
20161229,151
20161230,117
20161231,93
20170101,110
20170102,172
20170103,219
20170104,391
20170105,237
20170106,184
20170107,163
20170108,129
20170109,213
20170110,191
20170111,129
20170112,180
20170113,279
20170114,100
20170115,163
20170116,148
20170117,216
20170118,241
20170119,191
20170120,275
20170121,173
20170122,174
20170123,208
20170124,361
20170125,325
20170126,201
20170127,130
20170128,178
20170129,160
20170130,216
20170131,219
20170201,267
20170202,262
20170203,181
20170204,116
20170205,130
20170206,197
20170207,206
20170208,206
20170209,198
20170210,155
20170211,135
20170212,125
20170213,222
20170214,378
20170215,192
20170216,220
20170217,222
20170218,141
20170219,221
20170220,223
20170221,257
20170222,300
20170223,309
20170224,251
20170225,131
20170226,168
20170227,231
20170228,211
20170301,218
20170302,297
20170303,220
20170304,244
20170305,180
20170306,237
20170307,251
20170308,219
20170309,172
20170310,213
20170311,162
20170312,187
20170313,247
20170314,166
20170315,214
20170316,211
20170317,231
20170318,158
20170319,145
20170320,188
20170321,213
20170322,208
20170323,255
20170324,178
20170325,154
20170326,113
20170327,220
20170328,211
20170329,221
20170330,206
20170331,239
20170401,152
20170402,173
20170403,151
20170404,183
20170405,223
20170406,228
20170407,228
20170408,121
20170409,142
20170410,258
20170411,338
20170412,212
20170413,206
20170414,180
20170415,161
20170416,107
20170417,197
20170418,223
20170419,212
20170420,186
20170421,186
20170422,147
20170423,151
20170424,217
20170425,206
20170426,303
20170427,200
20170428,338
20170429,177
20170430,108
20170501,435
20170502,377
20170503,288
20170504,212
20170505,205
20170506,132
20170507,95
20170508,234
20170509,209
20170510,200
20170511,172
20170512,174
20170513,96
20170514,107
20170515,233
20170516,239
20170517,257
20170518,261
20170519,205
20170520,218
20170521,207
20170522,265
20170523,173
20170524,238
20170525,245
20170526,164
20170527,113
20170528,103
20170529,171
20170530,248
20170531,239
20170601,204
20170602,205
20170603,128
20170604,162
20170605,239
20170606,248
20170607,251
20170608,149
20170609,203
20170610,138
20170611,156
20170612,247
20170613,199
20170614,233
20170615,198
20170616,101
20170617,62
20170618,106
20170619,211
20170620,180
20170621,185
20170622,168
20170623,165
20170624,152
20170625,104
20170626,200
20170627,206
20170628,216
20170629,228
20170630,205
20170701,126
20170702,113
20170703,147
20170704,97
20170705,189
20170706,165
20170707,226
20170708,109
20170709,128
20170710,224
20170711,188
20170712,231
20170713,297
20170714,226
20170715,147
20170716,147
20170717,295
20170718,314
20170719,440
20170720,276
20170721,328
20170722,162
20170723,171
20170724,226
20170725,229
20170726,280
20170727,266
20170728,246
20170729,148
20170730,175
20170731,250
